epoch,time,train_mse,train_l2,test_l2,learning_rate
0,1.82,0.077146,0.474662,0.142592,0.000100
Best model saved at epoch,0,with test_l2,0.142592
1,1.26,0.003787,0.090979,0.063410,0.000100
Best model saved at epoch,1,with test_l2,0.063410
2,1.25,0.002067,0.053449,0.044446,0.000100
Best model saved at epoch,2,with test_l2,0.044446
3,1.24,0.001360,0.041646,0.036826,0.000100
Best model saved at epoch,3,with test_l2,0.036826
4,1.24,0.000940,0.033639,0.029147,0.000100
Best model saved at epoch,4,with test_l2,0.029147
5,1.25,0.000739,0.028845,0.025501,0.000100
Best model saved at epoch,5,with test_l2,0.025501
6,1.27,0.000603,0.025714,0.022152,0.000100
Best model saved at epoch,6,with test_l2,0.022152
7,1.26,0.000464,0.022747,0.019683,0.000100
Best model saved at epoch,7,with test_l2,0.019683
8,1.24,0.000391,0.022277,0.022909,0.000100
9,1.25,0.000355,0.020981,0.017401,0.000100
Best model saved at epoch,9,with test_l2,0.017401
10,1.27,0.000320,0.020446,0.024284,0.000100
11,1.24,0.000278,0.018507,0.020700,0.000100
12,1.27,0.000266,0.019388,0.017895,0.000100
13,1.25,0.000248,0.017464,0.020147,0.000100
14,1.24,0.000210,0.016429,0.015174,0.000100
Best model saved at epoch,14,with test_l2,0.015174
15,1.25,0.000206,0.015948,0.015031,0.000100
Best model saved at epoch,15,with test_l2,0.015031
16,1.26,0.000180,0.016726,0.016890,0.000100
17,1.27,0.000180,0.016685,0.019290,0.000100
18,1.26,0.000165,0.015270,0.018376,0.000100
19,1.25,0.000157,0.015285,0.014282,0.000100
Best model saved at epoch,19,with test_l2,0.014282
20,1.26,0.000140,0.014124,0.018208,0.000100
21,1.25,0.000128,0.013156,0.012468,0.000100
Best model saved at epoch,21,with test_l2,0.012468
22,1.25,0.000115,0.012232,0.012757,0.000100
23,1.26,0.000125,0.014874,0.013512,0.000100
24,1.24,0.000110,0.013886,0.011621,0.000100
Best model saved at epoch,24,with test_l2,0.011621
25,1.25,0.000118,0.014685,0.016182,0.000100
26,1.24,0.000101,0.012195,0.009454,0.000100
Best model saved at epoch,26,with test_l2,0.009454
27,1.24,0.000087,0.011049,0.010207,0.000100
28,1.26,0.000093,0.013584,0.010913,0.000100
29,1.25,0.000083,0.012180,0.009895,0.000100
30,1.25,0.000072,0.011015,0.009688,0.000100
31,1.25,0.000080,0.012478,0.013284,0.000100
32,1.25,0.000070,0.011354,0.010212,0.000100
33,1.25,0.000078,0.012255,0.013365,0.000100
34,1.25,0.000081,0.013033,0.010132,0.000100
35,1.24,0.000074,0.013084,0.009973,0.000100
36,1.25,0.000068,0.012017,0.009055,0.000100
Best model saved at epoch,36,with test_l2,0.009055
37,1.25,0.000054,0.010716,0.011312,0.000100
38,1.26,0.000068,0.012021,0.008601,0.000100
Best model saved at epoch,38,with test_l2,0.008601
39,1.26,0.000062,0.011987,0.010751,0.000100
40,1.26,0.000044,0.008857,0.011467,0.000100
41,1.27,0.000059,0.012316,0.013398,0.000100
42,1.26,0.000061,0.012298,0.015777,0.000100
43,1.24,0.000058,0.011783,0.014540,0.000100
44,1.24,0.000043,0.009559,0.009403,0.000100
45,1.24,0.000036,0.008630,0.008418,0.000100
Best model saved at epoch,45,with test_l2,0.008418
46,1.25,0.000052,0.011637,0.011013,0.000100
47,1.25,0.000048,0.011385,0.008571,0.000100
48,1.24,0.000036,0.008949,0.009828,0.000100
49,1.25,0.000051,0.011506,0.009151,0.000050
50,1.27,0.000033,0.008226,0.007207,0.000050
Best model saved at epoch,50,with test_l2,0.007207
51,1.27,0.000027,0.006845,0.006560,0.000050
Best model saved at epoch,51,with test_l2,0.006560
52,1.25,0.000028,0.007009,0.007092,0.000050
53,1.25,0.000028,0.006962,0.006382,0.000050
Best model saved at epoch,53,with test_l2,0.006382
54,1.24,0.000026,0.006615,0.006453,0.000050
55,1.24,0.000025,0.006619,0.006191,0.000050
Best model saved at epoch,55,with test_l2,0.006191
56,1.24,0.000026,0.007040,0.006236,0.000050
57,1.27,0.000026,0.006723,0.006843,0.000050
58,1.24,0.000024,0.006772,0.006455,0.000050
59,1.24,0.000024,0.006763,0.006654,0.000050
60,1.24,0.000022,0.006463,0.006331,0.000050
61,1.26,0.000023,0.006495,0.006182,0.000050
Best model saved at epoch,61,with test_l2,0.006182
62,1.24,0.000022,0.006401,0.006305,0.000050
63,1.24,0.000022,0.006355,0.006216,0.000050
