epoch,time,train_mse,train_l2,test_l2,learning_rate
0,2.25,0.050907,0.455810,0.383443,0.000999
Best model saved at epoch,0,with test_l2,0.383443
1,1.94,0.030389,0.348693,0.241383,0.000996
Best model saved at epoch,1,with test_l2,0.241383
2,1.94,0.021086,0.306355,0.267001,0.000991
3,1.98,0.015287,0.260010,0.351641,0.000984
4,1.96,0.016264,0.266960,0.252589,0.000976
5,1.97,0.015251,0.271996,0.285142,0.000965
6,1.88,0.013650,0.250553,0.178188,0.000952
Best model saved at epoch,6,with test_l2,0.178188
7,1.55,0.013615,0.253071,0.351385,0.000938
8,1.62,0.018035,0.294140,0.183945,0.000922
9,1.56,0.017152,0.279461,0.313838,0.000905
10,1.57,0.016040,0.274130,0.180626,0.000885
11,1.70,0.016968,0.278799,0.223072,0.000864
12,1.85,0.012309,0.247689,0.230990,0.000842
13,1.83,0.014311,0.259371,0.167086,0.000819
Best model saved at epoch,13,with test_l2,0.167086
14,1.56,0.009799,0.220152,0.171351,0.000794
15,1.64,0.010718,0.225010,0.289465,0.000768
16,1.94,0.011759,0.237276,0.148136,0.000741
Best model saved at epoch,16,with test_l2,0.148136
17,1.86,0.009995,0.221278,0.163562,0.000713
18,1.94,0.011277,0.230749,0.440765,0.000684
19,1.85,0.011186,0.227935,0.204383,0.000655
20,1.88,0.012268,0.243710,0.169236,0.000624
21,1.92,0.007244,0.190198,0.161139,0.000594
22,1.90,0.007626,0.188620,0.238298,0.000563
23,1.92,0.007465,0.188119,0.188234,0.000531
24,1.94,0.008963,0.206897,0.163551,0.000500
25,1.95,0.005423,0.158037,0.260122,0.000469
26,1.96,0.008090,0.200574,0.172691,0.000437
27,1.96,0.004658,0.148522,0.151331,0.000406
28,1.93,0.004562,0.146579,0.117426,0.000376
Best model saved at epoch,28,with test_l2,0.117426
29,1.71,0.004147,0.136077,0.110310,0.000345
Best model saved at epoch,29,with test_l2,0.110310
30,1.94,0.004252,0.141506,0.101290,0.000316
Best model saved at epoch,30,with test_l2,0.101290
31,1.95,0.003160,0.120633,0.134252,0.000287
32,1.67,0.003258,0.120819,0.127170,0.000259
33,1.65,0.003224,0.122584,0.099001,0.000232
Best model saved at epoch,33,with test_l2,0.099001
34,1.69,0.002245,0.101625,0.080588,0.000206
Best model saved at epoch,34,with test_l2,0.080588
35,1.80,0.001759,0.089210,0.071483,0.000181
Best model saved at epoch,35,with test_l2,0.071483
36,1.90,0.001682,0.088772,0.061465,0.000158
Best model saved at epoch,36,with test_l2,0.061465
37,1.94,0.001198,0.072894,0.062943,0.000136
38,1.94,0.001379,0.078698,0.071812,0.000115
39,1.92,0.001097,0.070344,0.069699,0.000095
40,1.95,0.001004,0.067101,0.052158,0.000078
Best model saved at epoch,40,with test_l2,0.052158
41,1.98,0.000945,0.065084,0.050478,0.000062
Best model saved at epoch,41,with test_l2,0.050478
42,1.96,0.000831,0.061536,0.050667,0.000048
43,1.96,0.000831,0.060493,0.054051,0.000035
44,1.93,0.000767,0.059084,0.046925,0.000024
Best model saved at epoch,44,with test_l2,0.046925
45,1.94,0.000715,0.056356,0.045980,0.000016
Best model saved at epoch,45,with test_l2,0.045980
46,1.92,0.000705,0.055978,0.046998,0.000009
47,1.87,0.000650,0.054508,0.044630,0.000004
Best model saved at epoch,47,with test_l2,0.044630
48,1.93,0.000668,0.054072,0.044554,0.000001
Best model saved at epoch,48,with test_l2,0.044554
49,1.96,0.000651,0.053741,0.044164,0.001000
Best model saved at epoch,49,with test_l2,0.044164
50,1.97,0.044968,0.453274,0.395225,0.001000
51,1.94,0.026277,0.368040,0.245199,0.000999
52,1.90,0.033356,0.420478,0.277642,0.000998
53,1.88,0.035638,0.428421,0.355828,0.000996
54,1.91,0.021445,0.332916,0.175308,0.000994
55,1.90,0.015252,0.283559,0.207761,0.000991
56,1.92,0.012559,0.262763,0.131652,0.000988
57,1.95,0.014576,0.272325,0.235814,0.000984
58,1.95,0.021284,0.334508,0.198106,0.000980
59,1.86,0.012387,0.255440,0.260821,0.000976
60,1.92,0.008181,0.203380,0.259971,0.000970
61,1.93,0.011910,0.249985,0.134110,0.000965
62,1.58,0.009467,0.216029,0.190792,0.000959
63,1.60,0.012822,0.247769,0.160893,0.000952
64,1.62,0.006914,0.186099,0.171451,0.000946
65,1.62,0.006869,0.186947,0.114965,0.000938
66,1.60,0.003671,0.133268,0.100623,0.000930
67,1.44,0.007025,0.191485,0.231655,0.000922
68,1.44,0.007249,0.193386,0.291570,0.000914
69,1.47,0.011897,0.258869,0.189115,0.000905
70,1.44,0.006554,0.175838,0.119354,0.000895
71,1.44,0.003777,0.136370,0.086448,0.000885
72,1.44,0.003604,0.137458,0.093475,0.000875
73,1.40,0.003074,0.120790,0.201887,0.000864
74,1.42,0.008142,0.204370,0.111363,0.000854
75,1.61,0.005375,0.161437,0.138338,0.000842
76,1.60,0.005740,0.171497,0.144678,0.000831
77,1.63,0.004187,0.142554,0.081563,0.000819
78,1.55,0.003315,0.125985,0.149888,0.000806
79,1.58,0.002495,0.111119,0.100924,0.000794
80,1.58,0.003187,0.127801,0.121129,0.000781
81,1.96,0.004606,0.145415,0.105740,0.000768
82,1.89,0.004961,0.160284,0.131998,0.000755
83,1.91,0.002290,0.104263,0.102556,0.000741
84,1.93,0.012558,0.254094,0.183411,0.000727
85,1.95,0.002924,0.118223,0.073744,0.000713
86,1.92,0.001628,0.088240,0.072293,0.000699
87,1.65,0.001510,0.085340,0.065753,0.000684
88,1.90,0.002466,0.107367,0.110646,0.000669
89,1.97,0.006182,0.180303,0.077066,0.000655
90,1.97,0.005009,0.141339,0.198620,0.000639
91,1.97,0.004123,0.133793,0.081674,0.000624
92,1.97,0.001471,0.083625,0.074920,0.000609
93,1.94,0.002426,0.105906,0.106923,0.000594
94,1.97,0.001420,0.082826,0.118055,0.000578
95,1.98,0.001987,0.097741,0.072826,0.000563
96,1.97,0.001932,0.095586,0.092730,0.000547
97,1.93,0.001843,0.095101,0.070682,0.000531
98,1.97,0.001022,0.070516,0.047513,0.000516
99,1.94,0.003004,0.119320,0.136442,0.000500
Early stopping triggered at epoch,99
