epoch,time,train_mse,train_l2,test_l2,learning_rate
0,2.45,7.068371e-06,3.669793e-01,1.741314e-01,1.000000e-03
Best model saved at epoch,0,with test_l2,1.741314e-01
1,1.82,9.466786e-07,1.385610e-01,1.210724e-01,1.000000e-03
Best model saved at epoch,1,with test_l2,1.210724e-01
2,1.82,6.531966e-07,1.141807e-01,1.092185e-01,1.000000e-03
Best model saved at epoch,2,with test_l2,1.092185e-01
3,1.88,5.268063e-07,1.020570e-01,1.015909e-01,1.000000e-03
Best model saved at epoch,3,with test_l2,1.015909e-01
4,2.05,4.724617e-07,9.609052e-02,9.612694e-02,1.000000e-03
Best model saved at epoch,4,with test_l2,9.612694e-02
5,1.95,4.482942e-07,9.325704e-02,9.298944e-02,1.000000e-03
Best model saved at epoch,5,with test_l2,9.298944e-02
6,1.82,3.822933e-07,8.619924e-02,8.661150e-02,1.000000e-03
Best model saved at epoch,6,with test_l2,8.661150e-02
7,1.85,3.850074e-07,8.606451e-02,8.757930e-02,1.000000e-03
8,1.99,3.409599e-07,8.112538e-02,7.749404e-02,1.000000e-03
Best model saved at epoch,8,with test_l2,7.749404e-02
9,1.94,2.937670e-07,7.574467e-02,7.506720e-02,1.000000e-03
Best model saved at epoch,9,with test_l2,7.506720e-02
10,1.84,2.856751e-07,7.464191e-02,7.646342e-02,1.000000e-03
11,1.94,2.590389e-07,7.106165e-02,7.065335e-02,1.000000e-03
Best model saved at epoch,11,with test_l2,7.065335e-02
12,1.84,2.563182e-07,7.062512e-02,6.936815e-02,1.000000e-03
Best model saved at epoch,12,with test_l2,6.936815e-02
13,1.90,2.448543e-07,6.885562e-02,6.602766e-02,1.000000e-03
Best model saved at epoch,13,with test_l2,6.602766e-02
14,1.68,2.190308e-07,6.517398e-02,6.477814e-02,1.000000e-03
Best model saved at epoch,14,with test_l2,6.477814e-02
15,1.86,2.304758e-07,6.681456e-02,6.376571e-02,1.000000e-03
Best model saved at epoch,15,with test_l2,6.376571e-02
16,1.87,2.070842e-07,6.334007e-02,6.321062e-02,1.000000e-03
Best model saved at epoch,16,with test_l2,6.321062e-02
17,2.04,2.033158e-07,6.290971e-02,7.630813e-02,1.000000e-03
18,2.03,2.064361e-07,6.288648e-02,6.032127e-02,1.000000e-03
Best model saved at epoch,18,with test_l2,6.032127e-02
19,1.89,1.760702e-07,5.854081e-02,6.571423e-02,1.000000e-03
20,1.98,1.798993e-07,5.897808e-02,5.821207e-02,1.000000e-03
Best model saved at epoch,20,with test_l2,5.821207e-02
21,1.93,1.768255e-07,5.853218e-02,5.724694e-02,1.000000e-03
Best model saved at epoch,21,with test_l2,5.724694e-02
22,2.03,1.626646e-07,5.641414e-02,5.693898e-02,1.000000e-03
Best model saved at epoch,22,with test_l2,5.693898e-02
23,1.65,1.630658e-07,5.635317e-02,5.727798e-02,1.000000e-03
24,1.78,1.701766e-07,5.748254e-02,5.731374e-02,1.000000e-03
25,1.88,1.530340e-07,5.467678e-02,5.581719e-02,1.000000e-03
Best model saved at epoch,25,with test_l2,5.581719e-02
26,2.04,1.536663e-07,5.471888e-02,5.584401e-02,1.000000e-03
27,1.91,1.532081e-07,5.438109e-02,5.277078e-02,1.000000e-03
Best model saved at epoch,27,with test_l2,5.277078e-02
28,2.16,1.566303e-07,5.529175e-02,5.519790e-02,1.000000e-03
29,1.91,1.434130e-07,5.285201e-02,5.184488e-02,1.000000e-03
Best model saved at epoch,29,with test_l2,5.184488e-02
30,1.77,1.304339e-07,5.053026e-02,5.267108e-02,1.000000e-03
31,1.96,1.401588e-07,5.213799e-02,5.036970e-02,1.000000e-03
Best model saved at epoch,31,with test_l2,5.036970e-02
32,1.77,1.323049e-07,5.077633e-02,4.925785e-02,1.000000e-03
Best model saved at epoch,32,with test_l2,4.925785e-02
33,1.79,1.261502e-07,4.968450e-02,5.218763e-02,1.000000e-03
34,1.83,1.257389e-07,4.964479e-02,4.878729e-02,1.000000e-03
Best model saved at epoch,34,with test_l2,4.878729e-02
35,1.93,1.565406e-07,5.485682e-02,6.910866e-02,1.000000e-03
36,1.83,1.319279e-07,5.078688e-02,4.866988e-02,1.000000e-03
Best model saved at epoch,36,with test_l2,4.866988e-02
37,1.97,1.245658e-07,4.917762e-02,5.306011e-02,1.000000e-03
38,2.08,1.240991e-07,4.926073e-02,4.760210e-02,1.000000e-03
Best model saved at epoch,38,with test_l2,4.760210e-02
39,1.87,1.190101e-07,4.826392e-02,4.663294e-02,1.000000e-03
Best model saved at epoch,39,with test_l2,4.663294e-02
40,1.94,1.089020e-07,4.625349e-02,4.538169e-02,1.000000e-03
Best model saved at epoch,40,with test_l2,4.538169e-02
41,1.73,1.036868e-07,4.524617e-02,5.193881e-02,1.000000e-03
42,1.86,1.137947e-07,4.715829e-02,4.460234e-02,1.000000e-03
Best model saved at epoch,42,with test_l2,4.460234e-02
43,1.71,1.002960e-07,4.435825e-02,4.557482e-02,1.000000e-03
44,1.96,9.747216e-08,4.388943e-02,4.453819e-02,1.000000e-03
Best model saved at epoch,44,with test_l2,4.453819e-02
45,1.98,1.123559e-07,4.714293e-02,4.493815e-02,1.000000e-03
46,2.01,1.054648e-07,4.531579e-02,4.543106e-02,1.000000e-03
47,1.99,1.069668e-07,4.594990e-02,4.237065e-02,1.000000e-03
Best model saved at epoch,47,with test_l2,4.237065e-02
48,2.16,1.018416e-07,4.437801e-02,4.228473e-02,1.000000e-03
Best model saved at epoch,48,with test_l2,4.228473e-02
49,1.97,9.246480e-08,4.260032e-02,4.317037e-02,1.000000e-03
50,1.62,9.014380e-08,4.228384e-02,5.227344e-02,1.000000e-03
51,1.88,9.403561e-08,4.316518e-02,4.065045e-02,1.000000e-03
Best model saved at epoch,51,with test_l2,4.065045e-02
52,1.86,8.373727e-08,4.062232e-02,4.162823e-02,1.000000e-03
53,1.80,9.456820e-08,4.314912e-02,4.136189e-02,1.000000e-03
54,2.03,7.861700e-08,3.960795e-02,4.176781e-02,1.000000e-03
55,1.71,8.292400e-08,4.048371e-02,4.084598e-02,1.000000e-03
56,2.08,8.233043e-08,4.042837e-02,4.453735e-02,1.000000e-03
57,1.98,9.954567e-08,4.419768e-02,4.515566e-02,1.000000e-03
58,1.74,8.021774e-08,3.989077e-02,4.131041e-02,1.000000e-03
59,1.65,8.294141e-08,4.073012e-02,4.722964e-02,1.000000e-03
60,1.87,8.782177e-08,4.169826e-02,3.915225e-02,1.000000e-03
Best model saved at epoch,60,with test_l2,3.915225e-02
61,1.78,8.361566e-08,4.075189e-02,3.838481e-02,1.000000e-03
Best model saved at epoch,61,with test_l2,3.838481e-02
62,1.88,7.648505e-08,3.906366e-02,3.995155e-02,1.000000e-03
63,1.98,7.726964e-08,3.932634e-02,3.843527e-02,1.000000e-03
64,1.92,7.745286e-08,3.919670e-02,3.748458e-02,1.000000e-03
Best model saved at epoch,64,with test_l2,3.748458e-02
65,2.09,7.004699e-08,3.748671e-02,4.135966e-02,1.000000e-03
66,1.84,6.949681e-08,3.733012e-02,3.694984e-02,1.000000e-03
Best model saved at epoch,66,with test_l2,3.694984e-02
67,1.93,7.078975e-08,3.750324e-02,4.091778e-02,1.000000e-03
68,1.70,7.411888e-08,3.849225e-02,3.765023e-02,1.000000e-03
69,1.87,7.182978e-08,3.791897e-02,4.491079e-02,1.000000e-03
70,2.09,7.080050e-08,3.770140e-02,3.617088e-02,1.000000e-03
Best model saved at epoch,70,with test_l2,3.617088e-02
71,2.09,6.746420e-08,3.665793e-02,4.586216e-02,1.000000e-03
72,1.97,6.740334e-08,3.665388e-02,4.390411e-02,1.000000e-03
73,1.82,6.892200e-08,3.711461e-02,3.552179e-02,1.000000e-03
Best model saved at epoch,73,with test_l2,3.552179e-02
74,1.92,6.424730e-08,3.575171e-02,3.656883e-02,1.000000e-03
75,1.97,6.612012e-08,3.647731e-02,3.910714e-02,1.000000e-03
76,1.83,7.051840e-08,3.722316e-02,3.602696e-02,1.000000e-03
77,1.61,6.995584e-08,3.720559e-02,3.939323e-02,1.000000e-03
78,1.74,6.653078e-08,3.640883e-02,3.557081e-02,1.000000e-03
79,1.91,6.155759e-08,3.518783e-02,3.555652e-02,1.000000e-03
80,1.78,6.319000e-08,3.556445e-02,3.492091e-02,1.000000e-03
Best model saved at epoch,80,with test_l2,3.492091e-02
81,1.80,6.518813e-08,3.617371e-02,4.055453e-02,1.000000e-03
82,1.86,6.902492e-08,3.695287e-02,3.766032e-02,1.000000e-03
83,1.74,5.780899e-08,3.397788e-02,3.746441e-02,1.000000e-03
84,1.85,5.587566e-08,3.347670e-02,3.560034e-02,1.000000e-03
85,1.95,5.897620e-08,3.438926e-02,3.600041e-02,1.000000e-03
86,1.65,6.737380e-08,3.667561e-02,3.648919e-02,1.000000e-03
87,1.81,5.554102e-08,3.346502e-02,3.492977e-02,1.000000e-03
88,1.80,5.785471e-08,3.402071e-02,3.434343e-02,1.000000e-03
Best model saved at epoch,88,with test_l2,3.434343e-02
89,2.06,5.126137e-08,3.215561e-02,3.377076e-02,1.000000e-03
Best model saved at epoch,89,with test_l2,3.377076e-02
90,2.10,5.264507e-08,3.262410e-02,3.412899e-02,1.000000e-03
91,1.99,5.820792e-08,3.414071e-02,3.573042e-02,1.000000e-03
92,1.69,6.441478e-08,3.587025e-02,3.357803e-02,1.000000e-03
Best model saved at epoch,92,with test_l2,3.357803e-02
93,1.80,5.642974e-08,3.372204e-02,3.509655e-02,1.000000e-03
94,1.79,5.793061e-08,3.403961e-02,3.247602e-02,1.000000e-03
Best model saved at epoch,94,with test_l2,3.247602e-02
95,1.68,4.916908e-08,3.137732e-02,3.717749e-02,1.000000e-03
96,1.76,5.026679e-08,3.181619e-02,3.354815e-02,1.000000e-03
97,1.93,4.915566e-08,3.146875e-02,3.261448e-02,1.000000e-03
98,1.94,5.094836e-08,3.198725e-02,3.320342e-02,1.000000e-03
99,1.73,6.166045e-08,3.497548e-02,3.392242e-02,1.000000e-03
100,1.89,6.412812e-08,3.567598e-02,3.193967e-02,1.000000e-03
Best model saved at epoch,100,with test_l2,3.193967e-02
101,1.75,5.391431e-08,3.291627e-02,3.186563e-02,1.000000e-03
Best model saved at epoch,101,with test_l2,3.186563e-02
102,1.78,4.976627e-08,3.152494e-02,3.166660e-02,1.000000e-03
Best model saved at epoch,102,with test_l2,3.166660e-02
103,2.07,4.588810e-08,3.043431e-02,3.253190e-02,1.000000e-03
104,1.59,5.222443e-08,3.236319e-02,3.215856e-02,1.000000e-03
105,1.76,4.828707e-08,3.131097e-02,3.698412e-02,1.000000e-03
106,1.69,5.544531e-08,3.331837e-02,3.452703e-02,1.000000e-03
107,1.94,4.976353e-08,3.157930e-02,3.152241e-02,1.000000e-03
Best model saved at epoch,107,with test_l2,3.152241e-02
108,1.78,4.566843e-08,3.032143e-02,3.190093e-02,1.000000e-03
109,1.89,5.118215e-08,3.208275e-02,3.466590e-02,1.000000e-03
110,2.00,5.612810e-08,3.340774e-02,3.571683e-02,1.000000e-03
111,2.04,4.749239e-08,3.092882e-02,3.002308e-02,1.000000e-03
Best model saved at epoch,111,with test_l2,3.002308e-02
112,1.87,4.417825e-08,2.991914e-02,3.406357e-02,1.000000e-03
113,1.85,4.793685e-08,3.112128e-02,3.173999e-02,1.000000e-03
114,1.71,4.522797e-08,3.022825e-02,3.670389e-02,1.000000e-03
115,1.81,4.383191e-08,2.983469e-02,3.125817e-02,1.000000e-03
116,1.89,4.832222e-08,3.112386e-02,3.136158e-02,1.000000e-03
117,1.83,4.510531e-08,3.007531e-02,3.160404e-02,1.000000e-03
118,1.87,4.768161e-08,3.096959e-02,3.138749e-02,1.000000e-03
119,1.98,4.586842e-08,3.034001e-02,3.258025e-02,1.000000e-03
120,2.00,4.998548e-08,3.177536e-02,3.299627e-02,1.000000e-03
121,1.77,4.740580e-08,3.089591e-02,3.126640e-02,1.000000e-03
122,1.77,4.258416e-08,2.932094e-02,3.122750e-02,1.000000e-03
123,1.67,4.226615e-08,2.914737e-02,3.460628e-02,1.000000e-03
124,1.81,5.084318e-08,3.184139e-02,3.125840e-02,1.000000e-03
125,2.08,4.317370e-08,2.950826e-02,3.135902e-02,1.000000e-03
126,2.02,4.175195e-08,2.910816e-02,3.414928e-02,1.000000e-03
127,2.12,5.058808e-08,3.183587e-02,3.489968e-02,1.000000e-03
128,1.98,5.265266e-08,3.226873e-02,3.322020e-02,1.000000e-03
129,1.86,4.125241e-08,2.885129e-02,3.274860e-02,1.000000e-03
130,1.99,4.384554e-08,2.957633e-02,2.977237e-02,1.000000e-03
Best model saved at epoch,130,with test_l2,2.977237e-02
131,1.89,4.575512e-08,3.018211e-02,2.863392e-02,1.000000e-03
Best model saved at epoch,131,with test_l2,2.863392e-02
132,1.77,3.927493e-08,2.827191e-02,2.973732e-02,1.000000e-03
