epoch,time,train_mse,train_l2,test_l2,learning_rate
0,6.30,7.068369e-06,3.669792e-01,1.741313e-01,1.000000e-03
Best model saved at epoch,0,with test_l2,1.741313e-01
1,2.44,9.466777e-07,1.385610e-01,1.210723e-01,1.000000e-03
Best model saved at epoch,1,with test_l2,1.210723e-01
2,2.44,6.531961e-07,1.141807e-01,1.092184e-01,1.000000e-03
Best model saved at epoch,2,with test_l2,1.092184e-01
3,2.44,5.268060e-07,1.020570e-01,1.015909e-01,1.000000e-03
Best model saved at epoch,3,with test_l2,1.015909e-01
4,2.44,4.724615e-07,9.609050e-02,9.612695e-02,1.000000e-03
Best model saved at epoch,4,with test_l2,9.612695e-02
5,2.61,4.482940e-07,9.325702e-02,9.298934e-02,1.000000e-03
Best model saved at epoch,5,with test_l2,9.298934e-02
6,2.45,3.822931e-07,8.619922e-02,8.661148e-02,1.000000e-03
Best model saved at epoch,6,with test_l2,8.661148e-02
7,2.43,3.850072e-07,8.606449e-02,8.757920e-02,1.000000e-03
8,2.44,3.409599e-07,8.112538e-02,7.749403e-02,1.000000e-03
Best model saved at epoch,8,with test_l2,7.749403e-02
9,2.44,2.937669e-07,7.574466e-02,7.506719e-02,1.000000e-03
Best model saved at epoch,9,with test_l2,7.506719e-02
10,2.44,2.856751e-07,7.464191e-02,7.646340e-02,1.000000e-03
11,2.44,2.590389e-07,7.106165e-02,7.065332e-02,1.000000e-03
Best model saved at epoch,11,with test_l2,7.065332e-02
12,2.43,2.563182e-07,7.062512e-02,6.936816e-02,1.000000e-03
Best model saved at epoch,12,with test_l2,6.936816e-02
13,2.44,2.448544e-07,6.885563e-02,6.602765e-02,1.000000e-03
Best model saved at epoch,13,with test_l2,6.602765e-02
14,2.44,2.190308e-07,6.517398e-02,6.477813e-02,1.000000e-03
Best model saved at epoch,14,with test_l2,6.477813e-02
15,2.44,2.304758e-07,6.681456e-02,6.376570e-02,1.000000e-03
Best model saved at epoch,15,with test_l2,6.376570e-02
16,2.44,2.070841e-07,6.334007e-02,6.321061e-02,1.000000e-03
Best model saved at epoch,16,with test_l2,6.321061e-02
17,2.44,2.033159e-07,6.290972e-02,7.630818e-02,1.000000e-03
18,2.44,2.064360e-07,6.288648e-02,6.032125e-02,1.000000e-03
Best model saved at epoch,18,with test_l2,6.032125e-02
19,2.44,1.760702e-07,5.854080e-02,6.571420e-02,1.000000e-03
20,2.44,1.798993e-07,5.897808e-02,5.821208e-02,1.000000e-03
Best model saved at epoch,20,with test_l2,5.821208e-02
21,2.45,1.768254e-07,5.853218e-02,5.724694e-02,1.000000e-03
Best model saved at epoch,21,with test_l2,5.724694e-02
22,2.46,1.626645e-07,5.641412e-02,5.693897e-02,1.000000e-03
Best model saved at epoch,22,with test_l2,5.693897e-02
23,2.46,1.630659e-07,5.635318e-02,5.727798e-02,1.000000e-03
24,2.46,1.701767e-07,5.748255e-02,5.731369e-02,1.000000e-03
25,2.45,1.530339e-07,5.467676e-02,5.581720e-02,1.000000e-03
Best model saved at epoch,25,with test_l2,5.581720e-02
26,2.45,1.536662e-07,5.471887e-02,5.584399e-02,1.000000e-03
27,2.46,1.532080e-07,5.438108e-02,5.277080e-02,1.000000e-03
Best model saved at epoch,27,with test_l2,5.277080e-02
28,2.46,1.566304e-07,5.529176e-02,5.519792e-02,1.000000e-03
29,2.46,1.434130e-07,5.285201e-02,5.184486e-02,1.000000e-03
Best model saved at epoch,29,with test_l2,5.184486e-02
30,2.45,1.304338e-07,5.053024e-02,5.267110e-02,1.000000e-03
31,2.46,1.401587e-07,5.213798e-02,5.036968e-02,1.000000e-03
Best model saved at epoch,31,with test_l2,5.036968e-02
32,2.45,1.323049e-07,5.077633e-02,4.925784e-02,1.000000e-03
Best model saved at epoch,32,with test_l2,4.925784e-02
33,2.45,1.261502e-07,4.968451e-02,5.218765e-02,1.000000e-03
34,2.45,1.257389e-07,4.964478e-02,4.878729e-02,1.000000e-03
Best model saved at epoch,34,with test_l2,4.878729e-02
35,2.45,1.565406e-07,5.485682e-02,6.910881e-02,1.000000e-03
36,2.45,1.319280e-07,5.078688e-02,4.866988e-02,1.000000e-03
Best model saved at epoch,36,with test_l2,4.866988e-02
37,2.46,1.245657e-07,4.917760e-02,5.306012e-02,1.000000e-03
38,2.45,1.240992e-07,4.926075e-02,4.760209e-02,1.000000e-03
Best model saved at epoch,38,with test_l2,4.760209e-02
39,2.46,1.190101e-07,4.826392e-02,4.663296e-02,1.000000e-03
Best model saved at epoch,39,with test_l2,4.663296e-02
40,2.45,1.089020e-07,4.625349e-02,4.538169e-02,1.000000e-03
Best model saved at epoch,40,with test_l2,4.538169e-02
41,2.46,1.036868e-07,4.524616e-02,5.193875e-02,1.000000e-03
42,2.45,1.137947e-07,4.715829e-02,4.460231e-02,1.000000e-03
Best model saved at epoch,42,with test_l2,4.460231e-02
43,2.45,1.002962e-07,4.435829e-02,4.557482e-02,1.000000e-03
44,2.45,9.747215e-08,4.388943e-02,4.453815e-02,1.000000e-03
Best model saved at epoch,44,with test_l2,4.453815e-02
45,2.45,1.123559e-07,4.714293e-02,4.493814e-02,1.000000e-03
46,2.45,1.054648e-07,4.531579e-02,4.543096e-02,1.000000e-03
47,2.45,1.069668e-07,4.594990e-02,4.237065e-02,1.000000e-03
Best model saved at epoch,47,with test_l2,4.237065e-02
48,2.45,1.018415e-07,4.437798e-02,4.228475e-02,1.000000e-03
Best model saved at epoch,48,with test_l2,4.228475e-02
49,2.45,9.246480e-08,4.260032e-02,4.317035e-02,1.000000e-03
50,2.44,9.014386e-08,4.228386e-02,5.227344e-02,1.000000e-03
51,2.44,9.403548e-08,4.316515e-02,4.065044e-02,1.000000e-03
Best model saved at epoch,51,with test_l2,4.065044e-02
52,2.45,8.373721e-08,4.062230e-02,4.162824e-02,1.000000e-03
53,2.46,9.456812e-08,4.314911e-02,4.136190e-02,1.000000e-03
54,2.45,7.861700e-08,3.960795e-02,4.176783e-02,1.000000e-03
55,2.45,8.292401e-08,4.048371e-02,4.084604e-02,1.000000e-03
56,2.45,8.233060e-08,4.042841e-02,4.453745e-02,1.000000e-03
57,2.45,9.954572e-08,4.419770e-02,4.515569e-02,1.000000e-03
58,2.46,8.021781e-08,3.989078e-02,4.131036e-02,1.000000e-03
59,2.45,8.294141e-08,4.073012e-02,4.722954e-02,1.000000e-03
60,2.45,8.782189e-08,4.169829e-02,3.915223e-02,1.000000e-03
Best model saved at epoch,60,with test_l2,3.915223e-02
61,2.45,8.361581e-08,4.075193e-02,3.838480e-02,1.000000e-03
Best model saved at epoch,61,with test_l2,3.838480e-02
62,2.46,7.648502e-08,3.906365e-02,3.995160e-02,1.000000e-03
63,2.45,7.726969e-08,3.932635e-02,3.843528e-02,1.000000e-03
64,2.46,7.745279e-08,3.919668e-02,3.748458e-02,1.000000e-03
Best model saved at epoch,64,with test_l2,3.748458e-02
