epoch,time,train_mse,train_l2,test_l2,learning_rate
0,1.00,0.096869,0.534054,0.252773,0.001000
Best model saved at epoch,0,with test_l2,0.252773
1,0.60,0.010096,0.212959,0.169821,0.001000
Best model saved at epoch,1,with test_l2,0.169821
2,0.61,0.004869,0.139717,0.123974,0.001000
Best model saved at epoch,2,with test_l2,0.123974
3,0.61,0.002842,0.108738,0.090442,0.001000
Best model saved at epoch,3,with test_l2,0.090442
4,0.62,0.001974,0.089777,0.086311,0.001000
Best model saved at epoch,4,with test_l2,0.086311
5,0.64,0.001748,0.083392,0.069795,0.001000
Best model saved at epoch,5,with test_l2,0.069795
6,0.80,0.001127,0.067575,0.060681,0.001000
Best model saved at epoch,6,with test_l2,0.060681
7,0.93,0.000914,0.061389,0.055277,0.001000
Best model saved at epoch,7,with test_l2,0.055277
8,1.01,0.000787,0.056057,0.054956,0.001000
Best model saved at epoch,8,with test_l2,0.054956
9,1.10,0.000857,0.057250,0.060314,0.001000
10,1.09,0.000786,0.053345,0.050543,0.001000
Best model saved at epoch,10,with test_l2,0.050543
11,0.98,0.000867,0.057138,0.045683,0.001000
Best model saved at epoch,11,with test_l2,0.045683
12,0.92,0.000499,0.043499,0.036623,0.001000
Best model saved at epoch,12,with test_l2,0.036623
13,0.92,0.000419,0.038595,0.039550,0.001000
14,0.92,0.000357,0.036364,0.036456,0.001000
Best model saved at epoch,14,with test_l2,0.036456
15,0.90,0.000401,0.037670,0.038830,0.001000
16,0.93,0.000488,0.042136,0.033283,0.001000
Best model saved at epoch,16,with test_l2,0.033283
17,0.93,0.000310,0.034158,0.039227,0.001000
18,0.96,0.000355,0.035165,0.026525,0.001000
Best model saved at epoch,18,with test_l2,0.026525
19,0.92,0.000262,0.030374,0.029001,0.001000
20,0.96,0.000591,0.040030,0.061640,0.001000
21,0.96,0.000762,0.051056,0.036047,0.001000
22,0.94,0.000473,0.041376,0.045705,0.001000
23,0.94,0.000220,0.029119,0.025528,0.001000
Best model saved at epoch,23,with test_l2,0.025528
24,0.95,0.000180,0.026071,0.020579,0.001000
Best model saved at epoch,24,with test_l2,0.020579
25,1.06,0.000127,0.021833,0.019449,0.001000
Best model saved at epoch,25,with test_l2,0.019449
26,1.12,0.000124,0.021240,0.024415,0.001000
27,1.09,0.000120,0.021492,0.019038,0.001000
Best model saved at epoch,27,with test_l2,0.019038
28,1.10,0.000133,0.022712,0.018284,0.001000
Best model saved at epoch,28,with test_l2,0.018284
29,1.14,0.000179,0.024918,0.019764,0.001000
30,1.14,0.000161,0.024603,0.019641,0.001000
31,1.14,0.000119,0.021361,0.020648,0.001000
32,1.12,0.000110,0.020802,0.025868,0.001000
33,1.14,0.000147,0.023148,0.021931,0.001000
34,1.03,0.000101,0.019358,0.023055,0.001000
35,0.92,0.000238,0.029120,0.022777,0.001000
36,0.95,0.000159,0.023814,0.017472,0.001000
Best model saved at epoch,36,with test_l2,0.017472
37,0.86,0.000218,0.028075,0.024826,0.001000
38,0.95,0.000138,0.023149,0.019961,0.001000
39,0.90,0.000122,0.021208,0.015244,0.001000
Best model saved at epoch,39,with test_l2,0.015244
40,0.97,0.000120,0.020786,0.018476,0.001000
41,1.01,0.000086,0.018084,0.015714,0.001000
42,1.01,0.000068,0.015962,0.015021,0.001000
Best model saved at epoch,42,with test_l2,0.015021
43,0.68,0.000059,0.015011,0.014617,0.001000
Best model saved at epoch,43,with test_l2,0.014617
44,0.94,0.000059,0.015398,0.020895,0.001000
45,0.96,0.000071,0.016769,0.017146,0.001000
46,0.90,0.000078,0.017289,0.033824,0.001000
47,0.87,0.000222,0.027458,0.017915,0.001000
48,1.04,0.000085,0.018264,0.016789,0.001000
49,1.09,0.000069,0.016251,0.013825,0.001000
Best model saved at epoch,49,with test_l2,0.013825
50,1.03,0.000092,0.018928,0.014789,0.001000
51,0.99,0.000040,0.012776,0.011930,0.001000
Best model saved at epoch,51,with test_l2,0.011930
52,0.70,0.000116,0.021394,0.023413,0.001000
53,0.91,0.000082,0.017406,0.017952,0.001000
54,0.91,0.000079,0.017146,0.016802,0.001000
55,0.91,0.000055,0.014836,0.016337,0.001000
56,0.92,0.000122,0.020711,0.016136,0.001000
57,0.88,0.000078,0.016956,0.020533,0.001000
58,0.92,0.000073,0.016276,0.012997,0.001000
59,0.90,0.000048,0.013670,0.015256,0.001000
60,0.92,0.000027,0.010618,0.012136,0.001000
61,0.92,0.000108,0.019730,0.022243,0.001000
62,0.92,0.000113,0.020962,0.018572,0.001000
63,0.89,0.000045,0.014010,0.010185,0.001000
Best model saved at epoch,63,with test_l2,0.010185
64,0.70,0.000067,0.014017,0.040871,0.001000
65,0.68,0.000152,0.024096,0.014792,0.001000
66,0.68,0.000043,0.013705,0.019215,0.001000
67,0.66,0.000046,0.013895,0.013115,0.001000
68,0.66,0.000039,0.012102,0.010515,0.001000
69,0.87,0.000036,0.011692,0.010244,0.001000
70,0.91,0.000059,0.015000,0.018947,0.001000
71,0.90,0.000368,0.035348,0.046085,0.001000
72,0.87,0.001476,0.073112,0.088838,0.001000
73,0.75,0.000617,0.048812,0.029900,0.001000
74,0.67,0.000107,0.021294,0.012347,0.001000
75,0.68,0.000041,0.013175,0.010124,0.001000
Best model saved at epoch,75,with test_l2,0.010124
76,0.67,0.000033,0.011787,0.011529,0.001000
77,0.68,0.000024,0.009732,0.013723,0.001000
78,0.66,0.000029,0.011123,0.012639,0.001000
79,0.67,0.000042,0.013260,0.014232,0.001000
80,0.65,0.000026,0.010434,0.011179,0.001000
81,0.66,0.000044,0.013497,0.008378,0.001000
Best model saved at epoch,81,with test_l2,0.008378
82,0.65,0.000034,0.011423,0.012261,0.001000
83,0.75,0.000024,0.010073,0.020642,0.001000
84,0.91,0.000123,0.022452,0.013188,0.001000
85,0.92,0.000110,0.019523,0.012566,0.001000
86,0.93,0.000054,0.014909,0.010071,0.001000
87,0.92,0.000023,0.009751,0.008934,0.001000
88,0.93,0.000030,0.011191,0.020857,0.001000
89,0.93,0.000032,0.011498,0.009118,0.001000
90,0.90,0.000019,0.008960,0.008168,0.001000
Best model saved at epoch,90,with test_l2,0.008168
91,0.90,0.000043,0.012541,0.018168,0.001000
92,0.89,0.000043,0.013191,0.009600,0.001000
93,0.92,0.000036,0.012347,0.011889,0.001000
94,0.89,0.000016,0.008097,0.008547,0.001000
95,0.90,0.000016,0.008154,0.007279,0.001000
Best model saved at epoch,95,with test_l2,0.007279
96,0.86,0.000021,0.009487,0.007973,0.001000
97,0.90,0.000037,0.011788,0.009380,0.001000
98,0.91,0.000075,0.015658,0.054581,0.001000
99,0.90,0.000460,0.042408,0.029659,0.001000
100,0.92,0.000191,0.026821,0.021088,0.001000
101,0.91,0.000177,0.026225,0.026487,0.001000
102,0.93,0.000160,0.023445,0.013471,0.001000
103,0.90,0.000073,0.016877,0.013573,0.001000
104,0.89,0.000140,0.023878,0.013648,0.001000
105,0.92,0.000043,0.013274,0.015718,0.001000
106,0.92,0.000076,0.017097,0.013513,0.001000
107,0.91,0.000036,0.012533,0.013959,0.001000
108,0.93,0.000020,0.009211,0.006645,0.001000
Best model saved at epoch,108,with test_l2,0.006645
109,0.94,0.000018,0.008774,0.007818,0.001000
110,0.92,0.000017,0.007988,0.007883,0.001000
111,0.92,0.000011,0.006979,0.007250,0.001000
112,0.91,0.000050,0.013757,0.024489,0.001000
113,0.94,0.000125,0.021203,0.016477,0.001000
114,0.91,0.000037,0.012169,0.012131,0.001000
115,0.95,0.000019,0.008994,0.006208,0.001000
Best model saved at epoch,115,with test_l2,0.006208
116,0.93,0.000021,0.008604,0.023100,0.001000
117,0.92,0.000050,0.014248,0.012515,0.001000
118,0.89,0.000102,0.019396,0.015965,0.001000
119,0.93,0.000073,0.017344,0.012017,0.001000
120,0.91,0.000037,0.012225,0.018384,0.001000
121,0.93,0.000080,0.017640,0.020318,0.001000
122,0.91,0.000109,0.021241,0.020235,0.001000
123,0.94,0.000113,0.020953,0.012144,0.001000
124,0.93,0.000023,0.009653,0.012641,0.001000
125,0.94,0.000062,0.014399,0.030963,0.001000
126,0.91,0.000125,0.021977,0.009547,0.001000
127,0.92,0.000045,0.013390,0.014960,0.001000
128,0.92,0.000143,0.023627,0.015203,0.001000
129,0.92,0.000044,0.013314,0.009674,0.001000
130,0.90,0.000019,0.009080,0.013122,0.001000
131,0.90,0.000035,0.011920,0.008991,0.001000
132,0.92,0.000025,0.009839,0.006354,0.001000
133,0.93,0.000014,0.007642,0.006586,0.001000
134,0.92,0.000025,0.009794,0.012951,0.001000
135,0.92,0.000196,0.027941,0.028195,0.001000
136,0.91,0.000408,0.039816,0.022670,0.001000
137,0.92,0.000167,0.026303,0.037598,0.001000
138,0.91,0.000095,0.018434,0.015224,0.001000
139,0.91,0.000073,0.016808,0.020560,0.001000
140,0.93,0.000058,0.015516,0.013010,0.001000
141,0.94,0.000063,0.015948,0.009479,0.001000
142,0.91,0.000057,0.015856,0.007703,0.001000
143,0.92,0.000021,0.009379,0.005945,0.001000
Best model saved at epoch,143,with test_l2,0.005945
144,0.89,0.000007,0.005599,0.008038,0.001000
145,0.91,0.000008,0.005918,0.005606,0.001000
Best model saved at epoch,145,with test_l2,0.005606
146,0.88,0.000008,0.005642,0.005867,0.001000
147,0.94,0.000013,0.007355,0.007019,0.001000
148,0.92,0.000008,0.005999,0.005134,0.001000
Best model saved at epoch,148,with test_l2,0.005134
149,0.92,0.000010,0.006200,0.012686,0.001000
150,0.90,0.000017,0.008450,0.006959,0.001000
151,0.93,0.000007,0.005434,0.008587,0.001000
152,0.91,0.000011,0.006518,0.005053,0.001000
Best model saved at epoch,152,with test_l2,0.005053
153,0.90,0.000008,0.005617,0.007174,0.001000
154,0.93,0.000018,0.008651,0.006740,0.001000
155,0.91,0.000018,0.008619,0.014893,0.001000
156,0.92,0.000314,0.031015,0.036304,0.001000
157,0.90,0.000158,0.024974,0.014092,0.001000
158,0.89,0.000068,0.016748,0.015670,0.001000
159,0.96,0.000053,0.015065,0.010721,0.001000
160,0.96,0.000117,0.021508,0.019320,0.001000
161,0.95,0.000077,0.016858,0.007704,0.001000
162,0.95,0.000013,0.007279,0.005501,0.001000
163,0.96,0.000012,0.006447,0.012498,0.001000
164,0.97,0.000022,0.009534,0.008404,0.001000
165,0.95,0.000014,0.007760,0.008333,0.001000
166,0.97,0.000010,0.007008,0.005720,0.001000
167,0.97,0.000011,0.006827,0.010471,0.001000
168,0.94,0.000010,0.006510,0.010339,0.001000
169,0.97,0.000083,0.017429,0.012360,0.001000
170,0.95,0.000086,0.018469,0.011618,0.001000
171,0.97,0.000015,0.008127,0.004896,0.001000
Best model saved at epoch,171,with test_l2,0.004896
172,0.92,0.000009,0.006101,0.005412,0.001000
173,0.98,0.000010,0.006463,0.006369,0.001000
174,0.96,0.000011,0.006805,0.005014,0.001000
175,0.97,0.000007,0.005548,0.003764,0.001000
Best model saved at epoch,175,with test_l2,0.003764
176,0.95,0.000006,0.005235,0.006725,0.001000
177,0.95,0.000017,0.008598,0.009229,0.001000
178,0.96,0.000042,0.013216,0.008136,0.001000
179,0.96,0.000024,0.009961,0.013355,0.001000
180,0.96,0.000062,0.016314,0.012255,0.001000
181,0.97,0.000101,0.019465,0.009562,0.001000
182,0.95,0.000226,0.026219,0.055718,0.001000
183,0.97,0.000190,0.030121,0.022278,0.001000
184,0.96,0.000077,0.018099,0.024576,0.001000
185,0.97,0.000040,0.012790,0.008817,0.001000
186,0.95,0.000017,0.008601,0.011880,0.001000
187,0.96,0.000040,0.012915,0.013188,0.001000
188,0.96,0.000014,0.007542,0.006252,0.001000
189,0.95,0.000047,0.011752,0.017006,0.001000
190,0.80,0.000174,0.027318,0.018787,0.001000
191,0.93,0.000089,0.018054,0.032682,0.001000
192,0.95,0.000145,0.023396,0.028704,0.001000
193,0.79,0.000103,0.019776,0.008259,0.001000
194,0.77,0.000008,0.005693,0.005159,0.001000
195,0.81,0.000008,0.005905,0.004549,0.001000
196,0.77,0.000006,0.005034,0.004140,0.001000
197,0.78,0.000011,0.006630,0.005740,0.001000
198,0.77,0.000007,0.005485,0.005634,0.001000
199,0.77,0.000006,0.005117,0.003652,0.001000
Best model saved at epoch,199,with test_l2,0.003652
200,0.77,0.000004,0.004142,0.005722,0.001000
201,0.75,0.000007,0.005268,0.006682,0.001000
202,0.85,0.000009,0.006108,0.005846,0.001000
203,0.92,0.000013,0.007015,0.012150,0.001000
204,0.94,0.000035,0.011996,0.007419,0.001000
205,0.95,0.000124,0.018198,0.015664,0.001000
206,0.96,0.000109,0.020826,0.029266,0.001000
207,0.97,0.000037,0.012076,0.007692,0.001000
208,0.96,0.000017,0.009028,0.008680,0.001000
209,0.96,0.000024,0.009817,0.010480,0.001000
210,0.96,0.000021,0.009340,0.004052,0.001000
211,0.97,0.000008,0.005926,0.004642,0.001000
212,0.95,0.000005,0.004522,0.004136,0.001000
213,0.97,0.000004,0.004023,0.005807,0.001000
214,0.97,0.000022,0.009927,0.010081,0.001000
215,0.95,0.000035,0.013191,0.009570,0.001000
216,0.94,0.000039,0.013461,0.010435,0.001000
217,0.91,0.000039,0.013065,0.009182,0.001000
218,0.92,0.000028,0.011243,0.014460,0.001000
219,0.93,0.000041,0.013052,0.008963,0.001000
220,0.92,0.000075,0.016447,0.017938,0.001000
221,0.90,0.000228,0.029468,0.024401,0.001000
222,0.92,0.000039,0.013294,0.006858,0.001000
223,0.92,0.000013,0.007898,0.006761,0.001000
224,0.92,0.000009,0.006344,0.004317,0.001000
225,0.91,0.000005,0.004638,0.006131,0.001000
226,0.92,0.000011,0.006677,0.007280,0.001000
227,0.93,0.000009,0.006383,0.005398,0.001000
228,0.92,0.000004,0.004047,0.003130,0.001000
Best model saved at epoch,228,with test_l2,0.003130
229,0.94,0.000007,0.005284,0.004569,0.001000
230,0.94,0.000013,0.007480,0.006237,0.001000
231,0.95,0.000013,0.007107,0.005473,0.001000
232,0.93,0.000007,0.005471,0.003466,0.001000
233,0.92,0.000003,0.003259,0.003849,0.001000
234,0.95,0.000005,0.004433,0.005189,0.001000
235,0.97,0.000006,0.004744,0.007462,0.001000
236,0.96,0.000103,0.019488,0.021718,0.001000
237,0.97,0.000523,0.046796,0.023948,0.001000
238,0.97,0.000096,0.019783,0.017169,0.001000
239,0.97,0.000032,0.011769,0.009368,0.001000
240,0.98,0.000015,0.008312,0.003944,0.001000
241,0.89,0.000005,0.004462,0.006750,0.001000
242,0.92,0.000007,0.005577,0.003723,0.001000
243,0.93,0.000003,0.003501,0.003932,0.001000
244,0.94,0.000003,0.003725,0.006501,0.001000
245,0.92,0.000006,0.005359,0.004393,0.001000
246,0.94,0.000003,0.003597,0.004954,0.001000
247,0.89,0.000008,0.005870,0.007087,0.001000
248,0.74,0.000005,0.005029,0.003845,0.001000
249,0.78,0.000005,0.004968,0.004200,0.001000
250,0.91,0.000005,0.004655,0.003707,0.001000
251,0.92,0.000003,0.003900,0.008652,0.001000
252,0.92,0.000017,0.008961,0.008252,0.001000
253,0.79,0.000023,0.009939,0.008033,0.001000
254,0.91,0.000010,0.006810,0.005581,0.001000
255,0.88,0.000003,0.004128,0.003821,0.001000
256,0.79,0.000005,0.004429,0.004672,0.001000
257,0.86,0.000011,0.006789,0.008346,0.001000
258,0.83,0.000044,0.014412,0.025045,0.001000
259,0.92,0.000055,0.014946,0.020665,0.001000
260,0.92,0.000121,0.022045,0.010989,0.001000
261,0.93,0.000084,0.017218,0.022289,0.001000
262,0.91,0.000083,0.019194,0.009885,0.001000
263,0.91,0.000013,0.007884,0.007455,0.001000
264,0.92,0.000013,0.007875,0.009217,0.001000
265,0.92,0.000009,0.006543,0.004683,0.001000
266,0.95,0.000005,0.004735,0.004012,0.001000
267,0.92,0.000012,0.006401,0.008396,0.001000
268,0.91,0.000009,0.005950,0.004322,0.001000
269,0.89,0.000004,0.004337,0.003876,0.001000
270,0.87,0.000006,0.005025,0.009344,0.001000
271,0.93,0.000012,0.007201,0.005395,0.001000
272,0.93,0.000007,0.005222,0.005930,0.001000
273,0.91,0.000011,0.006767,0.007475,0.001000
274,0.94,0.000018,0.009170,0.006419,0.001000
275,0.93,0.000011,0.007163,0.007691,0.001000
276,0.95,0.000020,0.009490,0.009176,0.001000
277,0.93,0.000046,0.013940,0.011316,0.001000
278,0.95,0.000062,0.015836,0.009104,0.001000
279,0.90,0.000304,0.034679,0.016456,0.001000
280,0.92,0.000063,0.016507,0.012888,0.001000
281,0.91,0.000033,0.011463,0.006925,0.001000
282,0.91,0.000011,0.006676,0.005126,0.001000
283,0.91,0.000018,0.008998,0.007034,0.001000
284,0.91,0.000009,0.006388,0.008844,0.001000
285,0.93,0.000011,0.007129,0.005032,0.001000
286,0.91,0.000008,0.005829,0.006322,0.001000
287,0.92,0.000008,0.005921,0.005932,0.001000
288,0.92,0.000065,0.016218,0.029724,0.001000
289,0.95,0.000033,0.011590,0.005612,0.001000
290,0.92,0.000014,0.007606,0.007399,0.001000
291,0.94,0.000010,0.006381,0.007149,0.001000
292,0.91,0.000024,0.010214,0.009498,0.001000
293,0.94,0.000020,0.008836,0.005883,0.001000
294,0.94,0.000009,0.006123,0.006026,0.001000
295,0.93,0.000006,0.005459,0.005970,0.001000
296,0.91,0.000003,0.003562,0.007539,0.001000
297,0.93,0.000006,0.005192,0.004040,0.001000
298,0.91,0.000006,0.004989,0.005578,0.001000
299,0.91,0.000005,0.004501,0.003647,0.001000
300,0.93,0.000003,0.003579,0.002717,0.001000
Best model saved at epoch,300,with test_l2,0.002717
301,0.91,0.000012,0.006761,0.015161,0.001000
302,0.92,0.000056,0.014643,0.013978,0.001000
303,0.92,0.000037,0.013107,0.009263,0.001000
304,0.95,0.000080,0.018337,0.012368,0.001000
305,0.94,0.000037,0.012421,0.012095,0.001000
306,0.95,0.000069,0.016285,0.023453,0.001000
307,0.93,0.000095,0.019721,0.012165,0.001000
308,0.96,0.000074,0.017738,0.009589,0.001000
309,0.95,0.000014,0.007312,0.007999,0.001000
310,0.96,0.000034,0.012192,0.010722,0.001000
311,0.95,0.000015,0.007724,0.006988,0.001000
312,0.93,0.000014,0.007805,0.006893,0.001000
313,0.95,0.000008,0.006291,0.007138,0.001000
314,0.95,0.000010,0.006448,0.004748,0.001000
315,0.95,0.000019,0.009009,0.010634,0.001000
316,0.89,0.000036,0.011830,0.007287,0.001000
317,0.79,0.000016,0.008148,0.005258,0.001000
318,0.77,0.000021,0.009120,0.008035,0.001000
319,0.92,0.000011,0.007118,0.006403,0.001000
320,0.94,0.000009,0.006397,0.005198,0.001000
321,0.93,0.000016,0.008895,0.006906,0.001000
322,0.92,0.000012,0.007241,0.005750,0.001000
323,0.94,0.000011,0.007326,0.009386,0.001000
324,0.96,0.000015,0.008101,0.007672,0.001000
325,0.95,0.000020,0.008750,0.009099,0.001000
326,0.96,0.000023,0.009499,0.007310,0.001000
327,0.94,0.000124,0.017540,0.053898,0.001000
328,0.95,0.000238,0.028659,0.023140,0.001000
329,0.90,0.000028,0.009682,0.011938,0.001000
330,0.94,0.000011,0.006668,0.003609,0.001000
331,0.93,0.000006,0.004263,0.009591,0.001000
332,0.94,0.000023,0.009981,0.005576,0.001000
333,0.95,0.000004,0.004308,0.003767,0.001000
334,0.93,0.000003,0.003755,0.003775,0.001000
335,0.92,0.000003,0.003383,0.004699,0.001000
336,0.94,0.000003,0.003516,0.002504,0.001000
Best model saved at epoch,336,with test_l2,0.002504
337,0.94,0.000001,0.002560,0.002214,0.001000
Best model saved at epoch,337,with test_l2,0.002214
338,0.94,0.000001,0.002542,0.002788,0.001000
339,0.92,0.000002,0.002956,0.002558,0.001000
340,0.92,0.000003,0.003662,0.005337,0.001000
341,0.92,0.000009,0.006382,0.006092,0.001000
342,0.92,0.000006,0.005235,0.004572,0.001000
343,0.92,0.000010,0.006174,0.004228,0.001000
344,0.92,0.000019,0.009093,0.007597,0.001000
345,0.92,0.000020,0.009150,0.008612,0.001000
346,0.91,0.000007,0.005502,0.004376,0.001000
347,0.92,0.000016,0.007919,0.012539,0.001000
348,0.93,0.000071,0.017207,0.015016,0.001000
349,0.92,0.000038,0.013860,0.013623,0.001000
350,0.93,0.000014,0.008194,0.007359,0.001000
351,0.90,0.000039,0.012404,0.007317,0.001000
352,0.92,0.000017,0.008425,0.005452,0.001000
353,0.95,0.000005,0.004653,0.003090,0.001000
354,0.97,0.000003,0.003472,0.003357,0.001000
355,0.96,0.000004,0.004269,0.004724,0.001000
356,0.95,0.000004,0.004277,0.005023,0.001000
357,0.96,0.000042,0.012533,0.020894,0.001000
358,0.96,0.000068,0.016932,0.011003,0.001000
359,0.93,0.000040,0.012995,0.006591,0.001000
360,0.88,0.000027,0.010232,0.006170,0.001000
361,0.90,0.000018,0.008460,0.011484,0.001000
362,0.90,0.000026,0.010020,0.008078,0.001000
363,0.92,0.000061,0.015061,0.020025,0.001000
364,0.88,0.000035,0.011870,0.009192,0.001000
365,0.92,0.000014,0.007757,0.003801,0.001000
366,0.88,0.000008,0.005928,0.004203,0.001000
367,0.93,0.000004,0.004057,0.006556,0.001000
368,0.91,0.000014,0.007935,0.007205,0.001000
369,0.91,0.000040,0.013413,0.013101,0.001000
370,0.90,0.000008,0.005887,0.008656,0.001000
371,0.93,0.000004,0.004553,0.003396,0.001000
372,0.92,0.000003,0.003749,0.003022,0.001000
373,0.93,0.000010,0.006418,0.006963,0.001000
374,0.91,0.000006,0.005487,0.004568,0.001000
375,0.93,0.000004,0.004067,0.003922,0.001000
