epoch,time,train_mse,train_l2,test_l2,learning_rate
0,24.72,0.657361,0.424341,0.304044,0.001000
Best model saved at epoch,0,with test_l2,0.304044
1,25.05,0.225771,0.263535,0.237124,0.001000
Best model saved at epoch,1,with test_l2,0.237124
2,25.20,0.141641,0.209759,0.193762,0.001000
Best model saved at epoch,2,with test_l2,0.193762
3,24.54,0.100791,0.177901,0.172658,0.001000
Best model saved at epoch,3,with test_l2,0.172658
4,24.78,0.080777,0.160681,0.158698,0.001000
Best model saved at epoch,4,with test_l2,0.158698
5,23.98,0.069923,0.150418,0.152843,0.001000
Best model saved at epoch,5,with test_l2,0.152843
6,26.71,0.058518,0.138278,0.141380,0.001000
Best model saved at epoch,6,with test_l2,0.141380
7,24.62,0.050647,0.128765,0.134533,0.001000
Best model saved at epoch,7,with test_l2,0.134533
8,24.28,0.046081,0.123239,0.127583,0.001000
Best model saved at epoch,8,with test_l2,0.127583
9,24.28,0.047353,0.123781,0.125529,0.001000
Best model saved at epoch,9,with test_l2,0.125529
10,24.16,0.038511,0.112133,0.115873,0.001000
Best model saved at epoch,10,with test_l2,0.115873
11,23.94,0.034524,0.106293,0.110979,0.001000
Best model saved at epoch,11,with test_l2,0.110979
12,24.84,0.031169,0.100721,0.109524,0.001000
Best model saved at epoch,12,with test_l2,0.109524
13,24.97,0.029798,0.098229,0.103779,0.001000
Best model saved at epoch,13,with test_l2,0.103779
14,24.34,0.027285,0.093824,0.101784,0.001000
Best model saved at epoch,14,with test_l2,0.101784
15,26.80,0.025509,0.090807,0.104143,0.001000
16,24.21,0.026159,0.091033,0.094054,0.001000
Best model saved at epoch,16,with test_l2,0.094054
17,24.35,0.022385,0.084489,0.093341,0.001000
Best model saved at epoch,17,with test_l2,0.093341
18,24.13,0.021235,0.082363,0.089679,0.001000
Best model saved at epoch,18,with test_l2,0.089679
19,23.87,0.020419,0.080631,0.091555,0.001000
20,24.05,0.018987,0.077737,0.086658,0.001000
Best model saved at epoch,20,with test_l2,0.086658
21,24.48,0.017991,0.075281,0.081754,0.001000
Best model saved at epoch,21,with test_l2,0.081754
22,24.36,0.016895,0.072892,0.079183,0.001000
Best model saved at epoch,22,with test_l2,0.079183
23,27.34,0.015865,0.070505,0.078018,0.001000
Best model saved at epoch,23,with test_l2,0.078018
24,24.41,0.015982,0.070984,0.081198,0.001000
25,26.97,0.014620,0.067582,0.073884,0.001000
Best model saved at epoch,25,with test_l2,0.073884
26,24.04,0.013868,0.065572,0.074910,0.001000
27,24.57,0.013336,0.064195,0.072011,0.001000
Best model saved at epoch,27,with test_l2,0.072011
28,24.19,0.012803,0.062978,0.070682,0.001000
Best model saved at epoch,28,with test_l2,0.070682
29,23.92,0.012567,0.062198,0.072593,0.001000
30,24.11,0.012125,0.061020,0.068475,0.001000
Best model saved at epoch,30,with test_l2,0.068475
31,24.26,0.011584,0.059531,0.068168,0.001000
Best model saved at epoch,31,with test_l2,0.068168
32,27.25,0.011477,0.059238,0.066685,0.001000
Best model saved at epoch,32,with test_l2,0.066685
33,24.13,0.010961,0.058030,0.067967,0.001000
34,23.87,0.010386,0.056172,0.063474,0.001000
Best model saved at epoch,34,with test_l2,0.063474
35,24.25,0.010006,0.055253,0.064084,0.001000
36,24.34,0.010252,0.055737,0.062754,0.001000
Best model saved at epoch,36,with test_l2,0.062754
37,24.38,0.009919,0.054840,0.060836,0.001000
Best model saved at epoch,37,with test_l2,0.060836
38,24.51,0.009048,0.052152,0.061889,0.001000
39,24.45,0.009275,0.053142,0.060130,0.001000
Best model saved at epoch,39,with test_l2,0.060130
40,25.18,0.008996,0.052214,0.060873,0.001000
41,27.01,0.009141,0.052493,0.058118,0.001000
Best model saved at epoch,41,with test_l2,0.058118
42,24.50,0.008460,0.050252,0.057391,0.001000
Best model saved at epoch,42,with test_l2,0.057391
43,23.98,0.008184,0.049394,0.057101,0.001000
Best model saved at epoch,43,with test_l2,0.057101
44,24.22,0.007804,0.048260,0.057075,0.001000
Best model saved at epoch,44,with test_l2,0.057075
45,27.14,0.007741,0.047996,0.056070,0.001000
Best model saved at epoch,45,with test_l2,0.056070
46,24.47,0.007378,0.046699,0.054717,0.001000
Best model saved at epoch,46,with test_l2,0.054717
47,24.43,0.007401,0.046907,0.056467,0.001000
48,23.93,0.007120,0.046084,0.053712,0.001000
Best model saved at epoch,48,with test_l2,0.053712
49,24.19,0.007035,0.045699,0.053988,0.001000
50,24.28,0.006958,0.045430,0.053145,0.001000
Best model saved at epoch,50,with test_l2,0.053145
51,24.43,0.006579,0.044017,0.052043,0.001000
Best model saved at epoch,51,with test_l2,0.052043
